unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
EAPR,THA,Thailand,MCV1,93,93,93,96,96,96,99,99,99,99,99,98,98,98,98,98,96,96,96,96,96,94,94,94
EAPR,TLS,Timor-Leste,MCV1,72,72,72,74,75,77,77,73,70,74,70,73,62,66,70,73,63,61,48,55,55,56,,
WCAR,TGO,Togo,MCV1,72,71,70,69,75,71,77,73,75,77,72,72,72,68,66,63,71,78,70,70,68,48,40,58
EAPR,TON,Tonga,MCV1,99,99,99,99,99,99,99,98,99,99,99,95,99,99,99,99,99,99,99,99,99,90,93,95
LACR,TTO,Trinidad and Tobago,MCV1,90,92,93,91,99,90,93,86,89,96,91,85,92,92,94,91,91,89,93,95,88,87,91,90
MENA,TUN,Tunisia,MCV1,96,95,95,98,98,96,98,96,98,98,94,96,96,97,98,98,98,98,96,95,90,94,92,95
ECAR,TUR,Turkiye,MCV1,95,95,96,95,97,96,96,98,97,94,98,96,98,97,97,97,96,98,91,81,75,83,91,87
ECAR,TKM,Turkmenistan,MCV1,99,98,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,97,88,98,96
EAPR,TUV,Tuvalu,MCV1,98,90,93,93,96,88,95,96,94,94,96,98,98,85,90,93,95,84,62,97,95,99,99,81
ESAR,UGA,Uganda,MCV1,93,92,90,89,87,86,83,79,79,85,83,80,75,73,77,70,75,75,68,66,64,62,59,57
ECAR,UKR,Ukraine,MCV1,92,74,88,85,93,91,86,42,56,56,79,79,67,56,75,94,97,98,96,99,99,99,99,99
MENA,ARE,United Arab Emirates,MCV1,98,98,99,99,99,99,99,99,99,99,98,96,95,94,93,92,92,92,92,94,94,94,94,94
Non-programme,GBR,United Kingdom,MCV1,90,90,91,91,91,92,92,92,93,93,93,92,90,89,86,86,86,85,82,81,82,85,85,88
ESAR,TZA,United Republic of Tanzania,MCV1,91,89,80,87,89,88,90,83,95,97,99,97,93,92,91,88,90,93,91,94,97,89,86,78
Non-programme,USA,United States,MCV1,92,92,92,91,90,92,91,92,92,92,92,91,92,92,90,92,92,92,92,93,93,91,91,91
LACR,URY,Uruguay,MCV1,96,96,93,95,96,97,96,95,96,96,96,96,95,95,94,95,96,94,95,95,95,95,94,89
ECAR,UZB,Uzbekistan,MCV1,99,99,99,99,98,96,99,99,99,99,97,99,99,98,95,98,98,98,99,98,99,97,99,99
EAPR,VUT,Vanuatu,MCV1,70,70,50,78,80,75,80,84,76,90,84,79,75,70,65,61,56,52,53,55,56,58,59,61
LACR,VEN,Venezuela (Bolivarian Republic of),MCV1,68,52,68,76,93,74,96,88,92,89,85,87,86,79,87,93,87,82,76,80,83,83,98,84
EAPR,VNM,Viet Nam,MCV1,82,88,89,97,95,97,97,99,97,97,98,96,96,98,97,92,83,93,95,97,93,96,98,97
MENA,YEM,Yemen,MCV1,45,53,51,53,54,53,56,62,61,64,68,63,66,68,65,69,71,65,73,74,64,62,72,70
ESAR,ZMB,Zambia,MCV1,90,90,90,96,93,94,96,97,90,85,80,82,83,96,90,87,93,85,85,85,84,84,84,85
ESAR,ZWE,Zimbabwe,MCV1,90,90,88,85,85,88,90,95,86,92,93,97,92,90,76,70,69,68,67,66,68,70,73,75
